Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-01-30 09:50:08.272000,4149.03225806,0,4231.61290323,0,4165.48387097,0,4218.06451613,0,4195.80645161,0,4207.09677419,0,4198.06451613,0,4176.77419355,0,4297.74193548,0,4221.61290323,0,4287.41935484,0,4250.32258065,0,4257.41935484,0,4179.03225806,0,0,0,?
2018-01-30 09:50:08.274000,4149.03225806,0,4231.61290323,0,4165.48387097,0,4218.06451613,0,4195.80645161,0,4207.09677419,0,4198.06451613,0,4176.77419355,0,4297.74193548,0,4221.61290323,0,4287.41935484,0,4250.32258065,0,4257.41935484,0,4179.03225806,0,0,0,?
2018-01-30 09:50:08.275000,4149.03225806,0,4231.61290323,0,4165.48387097,0,4218.06451613,0,4195.80645161,0,4207.09677419,0,4198.06451613,0,4176.77419355,0,4297.74193548,0,4221.61290323,0,4287.41935484,0,4250.32258065,0,4257.41935484,0,4179.03225806,0,0,0,?
2018-01-30 09:50:08.276000,4149.03225806,0,4231.61290323,0,4165.48387097,0,4218.06451613,0,4195.80645161,0,4207.09677419,0,4198.06451613,0,4176.77419355,0,4297.74193548,0,4221.61290323,0,4287.41935484,0,4250.32258065,0,4257.41935484,0,4179.03225806,0,0,0,?
2018-01-30 09:50:08.286000,4149.03225806,0,4231.61290323,0,4165.48387097,0,4218.06451613,0,4195.80645161,0,4207.09677419,0,4198.06451613,0,4176.77419355,0,4297.74193548,0,4221.61290323,0,4287.41935484,0,4250.32258065,0,4257.41935484,0,4179.03225806,0,0,0,?
2018-01-30 09:50:08.292000,4149.03225806,0,4231.61290323,0,4165.48387097,0,4218.06451613,0,4195.80645161,0,4207.09677419,0,4198.06451613,0,4176.77419355,0,4297.74193548,0,4221.61290323,0,4287.41935484,0,4250.32258065,0,4257.41935484,0,4179.03225806,0,0,0,?
2018-01-30 09:50:08.303000,4149.03225806,0,4231.61290323,0,4165.48387097,0,4169.67741935,0,4209.67741935,0,4207.09677419,0,4198.06451613,0,4136.12903226,0,4255.80645161,0,4221.61290323,0,4287.41935484,0,4250.32258065,0,4257.41935484,0,4179.03225806,0,0,0,?
2018-01-30 09:50:08.309000,4181.93548387,0,4230.96774194,0,4120.96774194,0,4169.67741935,0,4209.67741935,0,4191.29032258,0,4214.19354839,0,4136.12903226,0,4255.80645161,0,4207.74193548,0,4262.25806452,0,4267.09677419,0,4261.93548387,0,4208.06451613,0,0,0,?
2018-01-30 09:50:08.320000,4181.93548387,0,4230.96774194,0,4120.96774194,0,4169.67741935,0,4209.67741935,0,4191.29032258,0,4214.19354839,0,4136.12903226,0,4255.80645161,0,4207.74193548,0,4262.25806452,0,4267.09677419,0,4261.93548387,0,4208.06451613,0,0,0,?
2018-01-30 09:50:08.322000,4181.93548387,0,4230.96774194,0,4120.96774194,0,4169.67741935,0,4209.67741935,0,4191.29032258,0,4214.19354839,0,4136.12903226,0,4255.80645161,0,4207.74193548,0,4262.25806452,0,4267.09677419,0,4261.93548387,0,4208.06451613,0,0,0,?
