Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-01-26 08:52:46.592000,4162.58064516,0,4239.67741935,0,4101.93548387,0,4113.87096774,0,4127.74193548,0,4127.74193548,0,4163.87096774,0,4173.87096774,0,4180.96774194,0,4079.67741935,0,4139.35483871,0,4178.70967742,0,4186.4516129,0,4153.22580645,0,0,0,?
2018-01-26 08:52:46.611000,4156.77419355,0,4238.70967742,0,4102.90322581,0,4104.19354839,0,4125.80645161,0,4121.93548387,0,4164.83870968,0,4167.74193548,0,4174.51612903,0,4093.87096774,0,4140.0,0,4176.12903226,0,4194.51612903,0,4160.32258065,0,0,0,?
2018-01-26 08:52:46.615000,4130.96774194,0,4247.74193548,0,4106.77419355,0,4141.29032258,0,4115.80645161,0,4109.67741935,0,4160.0,0,4157.74193548,0,4165.16129032,0,4089.03225806,0,4135.16129032,0,4168.70967742,0,4188.06451613,0,4176.12903226,0,0,0,?
2018-01-26 08:52:46.620000,4150.96774194,0,4234.83870968,0,4092.90322581,0,4120.32258065,0,4121.93548387,0,4110.0,0,4151.29032258,0,4156.4516129,0,4170.64516129,0,4098.06451613,0,4138.06451613,0,4156.77419355,0,4182.90322581,0,4149.67741935,0,0,0,?
2018-01-26 08:52:46.635000,4133.22580645,0,4250.0,0,4073.5483871,0,4083.5483871,0,4113.87096774,0,4116.4516129,0,4132.90322581,0,4141.29032258,0,4133.5483871,0,4107.09677419,0,4135.16129032,0,4143.87096774,0,4187.41935484,0,4173.22580645,0,0,0,?
2018-01-26 08:52:46.652000,4162.90322581,0,4259.03225806,0,4095.48387097,0,4119.35483871,0,4121.93548387,0,4105.16129032,0,4135.16129032,0,4148.38709677,0,4137.09677419,0,4066.4516129,0,4140.96774194,0,4160.32258065,0,4194.51612903,0,4156.12903226,0,0,0,?
2018-01-26 08:52:46.653000,4162.90322581,0,4259.03225806,0,4095.48387097,0,4119.35483871,0,4121.93548387,0,4105.16129032,0,4135.16129032,0,4148.38709677,0,4137.09677419,0,4066.4516129,0,4140.96774194,0,4160.32258065,0,4194.51612903,0,4156.12903226,0,0,0,?
2018-01-26 08:52:46.685000,4160.32258065,0,4252.58064516,0,4110.96774194,0,4143.5483871,0,4126.12903226,0,4107.41935484,0,4135.16129032,0,4152.90322581,0,4142.25806452,0,4069.67741935,0,4139.35483871,0,4181.61290323,0,4192.25806452,0,4160.0,0,0,0,?
2018-01-26 08:52:46.705000,4133.5483871,0,4242.25806452,0,4072.25806452,0,4097.41935484,0,4117.41935484,0,4121.61290323,0,4120.32258065,0,4133.5483871,0,4133.87096774,0,4070.64516129,0,4136.4516129,0,4153.22580645,0,4187.09677419,0,4130.0,0,0,0,?
2018-01-26 08:52:46.707000,4160.96774194,0,4256.4516129,0,4082.90322581,0,4116.77419355,0,4107.74193548,0,4116.12903226,0,4110.96774194,0,4129.67741935,0,4125.48387097,0,4106.77419355,0,4130.32258065,0,4153.5483871,0,4174.83870968,0,4150.0,0,0,0,?
2018-01-26 08:52:46.711000,4167.74193548,0,4258.70967742,0,4114.51612903,0,4131.93548387,0,4104.19354839,0,4115.80645161,0,4104.83870968,0,4119.35483871,0,4100.64516129,0,4090.64516129,0,4123.87096774,0,4148.38709677,0,4174.83870968,0,4138.06451613,0,0,0,?
2018-01-26 08:52:46.714000,4157.74193548,0,4243.5483871,0,4092.25806452,0,4110.64516129,0,4146.4516129,0,4116.4516129,0,4111.29032258,0,4112.25806452,0,4123.5483871,0,4099.67741935,0,4125.48387097,0,4153.87096774,0,4186.77419355,0,4135.16129032,0,0,0,?
