Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-01-22 09:02:22.140000,4140.32258065,0,4180.64516129,0,4103.22580645,0,4184.51612903,0,4161.61290323,0,4151.93548387,0,4144.51612903,0,4175.80645161,0,4181.61290323,0,4114.51612903,0,4052.25806452,0,4152.90322581,0,4141.93548387,0,4110.96774194,0,0,0,?
2018-01-22 09:02:22.141000,4130.96774194,0,4171.61290323,0,4098.70967742,0,4174.51612903,0,4155.80645161,0,4152.25806452,0,4146.77419355,0,4201.93548387,0,4166.77419355,0,4141.61290323,0,4038.06451613,0,4164.83870968,0,4166.4516129,0,4148.70967742,0,0,0,?
2018-01-22 09:02:22.156000,4170.32258065,0,4164.19354839,0,4089.67741935,0,4194.51612903,0,4160.96774194,0,4156.12903226,0,4156.77419355,0,4152.58064516,0,4193.22580645,0,4131.93548387,0,4042.90322581,0,4146.4516129,0,4210.0,0,4112.90322581,0,0,0,?
2018-01-22 09:02:22.157000,4129.67741935,0,4190.64516129,0,4128.70967742,0,4205.48387097,0,4164.51612903,0,4149.35483871,0,4145.48387097,0,4202.58064516,0,4161.61290323,0,4135.48387097,0,4035.16129032,0,4151.61290323,0,4162.25806452,0,4158.38709677,0,0,0,?
2018-01-22 09:02:22.169000,4155.80645161,0,4177.09677419,0,4136.77419355,0,4187.41935484,0,4162.90322581,0,4153.5483871,0,4170.32258065,0,4207.74193548,0,4191.93548387,0,4155.16129032,0,4044.83870968,0,4165.16129032,0,4165.48387097,0,4154.83870968,0,0,0,?
2018-01-22 09:02:22.170000,4140.96774194,0,4150.32258065,0,4092.25806452,0,4146.4516129,0,4144.83870968,0,4150.64516129,0,4149.35483871,0,4130.32258065,0,4149.03225806,0,4108.06451613,0,4004.51612903,0,4164.83870968,0,4140.32258065,0,4130.0,0,0,0,?
2018-01-22 09:02:22.187000,4135.80645161,0,4172.58064516,0,4126.4516129,0,4184.19354839,0,4152.58064516,0,4141.93548387,0,4147.09677419,0,4162.90322581,0,4197.74193548,0,4130.0,0,4051.29032258,0,4145.80645161,0,4152.25806452,0,4127.74193548,0,0,0,?
2018-01-22 09:02:22.189000,4164.51612903,0,4153.5483871,0,4074.19354839,0,4160.64516129,0,4166.12903226,0,4144.51612903,0,4159.35483871,0,4141.29032258,0,4138.38709677,0,4118.38709677,0,4026.77419355,0,4140.0,0,4205.48387097,0,4143.5483871,0,0,0,?
2018-01-22 09:02:22.200000,4163.22580645,0,4157.09677419,0,4104.19354839,0,4171.61290323,0,4154.51612903,0,4147.41935484,0,4142.25806452,0,4165.80645161,0,4171.61290323,0,4110.0,0,4026.77419355,0,4169.35483871,0,4154.51612903,0,4100.64516129,0,0,0,?
2018-01-22 09:02:22.203000,4147.74193548,0,4156.77419355,0,4140.32258065,0,4161.29032258,0,4154.83870968,0,4154.51612903,0,4154.83870968,0,4189.03225806,0,4209.67741935,0,4131.29032258,0,4040.0,0,4140.0,0,4202.90322581,0,4107.74193548,0,0,0,?
2018-01-22 09:02:22.218000,4135.16129032,0,4132.25806452,0,4087.41935484,0,4171.93548387,0,4143.5483871,0,4146.4516129,0,4138.06451613,0,4143.22580645,0,4131.29032258,0,4126.12903226,0,4026.12903226,0,4153.87096774,0,4129.35483871,0,4100.32258065,0,0,0,?
2018-01-22 09:02:22.220000,4168.70967742,0,4140.0,0,4109.03225806,0,4168.38709677,0,4140.32258065,0,4142.58064516,0,4145.48387097,0,4162.25806452,0,4155.16129032,0,4141.29032258,0,4023.87096774,0,4170.0,0,4133.87096774,0,4143.87096774,0,0,0,?
