Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-01-26 08:12:39.605000,4188.38709677,0,4135.48387097,0,4071.29032258,0,4003.87096774,0,4144.83870968,0,4145.80645161,0,4204.83870968,0,4159.03225806,0,4058.38709677,0,4363.5483871,0,4194.19354839,0,4148.06451613,0,4248.38709677,0,4150.0,0,0,0,?
2018-01-26 08:12:39.608000,4190.32258065,0,4132.90322581,0,4056.4516129,0,3960.32258065,0,4156.77419355,0,4167.09677419,0,4177.74193548,0,4161.29032258,0,4048.38709677,0,4377.09677419,0,4191.29032258,0,4143.22580645,0,4252.90322581,0,4149.35483871,0,0,0,?
2018-01-26 08:12:39.612000,4168.38709677,0,4129.35483871,0,4050.0,0,3976.77419355,0,4169.35483871,0,4135.80645161,0,4185.80645161,0,4167.41935484,0,4053.87096774,0,4393.87096774,0,4204.83870968,0,4154.19354839,0,4246.12903226,0,4144.83870968,0,0,0,?
2018-01-26 08:12:39.620000,4195.48387097,0,4146.12903226,0,4058.70967742,0,3986.4516129,0,4173.5483871,0,4174.19354839,0,4192.58064516,0,4161.29032258,0,4074.83870968,0,4387.74193548,0,4210.64516129,0,4163.87096774,0,4249.67741935,0,4141.93548387,0,0,0,?
2018-01-26 08:12:39.626000,4196.12903226,0,4144.19354839,0,4024.83870968,0,3969.35483871,0,4168.06451613,0,4160.0,0,4178.70967742,0,4171.29032258,0,4059.67741935,0,4372.25806452,0,4207.41935484,0,4161.61290323,0,4265.48387097,0,4178.06451613,0,0,0,?
2018-01-26 08:12:39.634000,4180.64516129,0,4129.67741935,0,4033.5483871,0,3962.25806452,0,4178.38709677,0,4162.90322581,0,4167.41935484,0,4170.0,0,4067.41935484,0,4370.96774194,0,4166.77419355,0,4162.25806452,0,4270.64516129,0,4133.22580645,0,0,0,?
2018-01-26 08:12:39.638000,4206.12903226,0,4139.03225806,0,4075.16129032,0,3967.09677419,0,4185.16129032,0,4161.29032258,0,4210.32258065,0,4143.5483871,0,4061.29032258,0,4343.5483871,0,4170.32258065,0,4163.5483871,0,4259.03225806,0,4144.83870968,0,0,0,?
2018-01-26 08:12:39.647000,4181.29032258,0,4139.67741935,0,4077.74193548,0,3972.25806452,0,4181.93548387,0,4157.41935484,0,4205.16129032,0,4144.83870968,0,4064.51612903,0,4362.25806452,0,4166.77419355,0,4162.90322581,0,4261.29032258,0,4130.32258065,0,0,0,?
2018-01-26 08:12:39.653000,4181.29032258,0,4124.83870968,0,4015.16129032,0,3952.90322581,0,4164.83870968,0,4147.74193548,0,4199.67741935,0,4147.41935484,0,4059.03225806,0,4356.4516129,0,4166.12903226,0,4158.06451613,0,4257.74193548,0,4137.09677419,0,0,0,?
2018-01-26 08:12:39.662000,4193.22580645,0,4103.87096774,0,4037.41935484,0,3940.32258065,0,4155.16129032,0,4122.90322581,0,4194.51612903,0,4135.48387097,0,4048.70967742,0,4346.4516129,0,4172.58064516,0,4154.19354839,0,4250.96774194,0,4131.61290323,0,0,0,?
2018-01-26 08:12:39.670000,4183.87096774,0,4097.41935484,0,4018.38709677,0,3945.16129032,0,4155.48387097,0,4102.25806452,0,4183.5483871,0,4128.70967742,0,4034.83870968,0,4306.4516129,0,4176.77419355,0,4151.93548387,0,4263.22580645,0,4166.77419355,0,0,0,?
2018-01-26 08:12:39.677000,4203.22580645,0,4111.93548387,0,3992.58064516,0,3945.48387097,0,4152.25806452,0,4102.90322581,0,4169.67741935,0,4125.16129032,0,4011.93548387,0,4304.19354839,0,4180.64516129,0,4156.77419355,0,4271.61290323,0,4178.38709677,0,0,0,?
2018-01-26 08:12:39.687000,4189.03225806,0,4114.19354839,0,4050.0,0,3950.32258065,0,4170.32258065,0,4115.16129032,0,4170.96774194,0,4138.38709677,0,4040.0,0,4356.12903226,0,4190.64516129,0,4168.06451613,0,4268.06451613,0,4174.83870968,0,0,0,?
2018-01-26 08:12:39.694000,4200.0,0,4119.67741935,0,4032.90322581,0,3944.83870968,0,4178.38709677,0,4102.25806452,0,4160.64516129,0,4139.35483871,0,4060.64516129,0,4352.90322581,0,4184.19354839,0,4161.29032258,0,4261.93548387,0,4175.80645161,0,0,0,?
2018-01-26 08:12:39.699000,4207.74193548,0,4124.19354839,0,4044.51612903,0,3942.25806452,0,4168.38709677,0,4127.41935484,0,4143.22580645,0,4118.70967742,0,4020.64516129,0,4332.90322581,0,4177.41935484,0,4153.5483871,0,4265.48387097,0,4176.12903226,0,0,0,?
2018-01-26 08:12:39.707000,4188.06451613,0,4111.61290323,0,4010.32258065,0,3956.4516129,0,4165.48387097,0,4125.80645161,0,4147.41935484,0,4114.83870968,0,4000.32258065,0,4338.38709677,0,4193.87096774,0,4154.83870968,0,4228.06451613,0,4169.03225806,0,0,0,?
