Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-01-26 08:14:58.078000,4169.67741935,0,4171.29032258,0,4199.67741935,0,4157.41935484,0,4199.67741935,0,4260.0,0,4195.48387097,0,4200.64516129,0,4170.32258065,0,4211.29032258,0,4167.74193548,0,4202.90322581,0,4144.83870968,0,4203.22580645,0,0,0,?
2018-01-26 08:14:58.079000,4154.19354839,0,4204.19354839,0,4163.5483871,0,4133.87096774,0,4184.83870968,0,4297.41935484,0,4186.12903226,0,4164.19354839,0,4178.06451613,0,4176.77419355,0,4209.03225806,0,4212.25806452,0,4147.09677419,0,4192.90322581,0,0,0,?
2018-01-26 08:14:58.092000,4173.5483871,0,4164.83870968,0,4207.09677419,0,4135.16129032,0,4238.70967742,0,4271.61290323,0,4205.80645161,0,4182.58064516,0,4139.67741935,0,4174.19354839,0,4171.61290323,0,4219.67741935,0,4169.67741935,0,4203.5483871,0,0,0,?
2018-01-26 08:14:58.096000,4178.38709677,0,4178.38709677,0,4228.06451613,0,4168.06451613,0,4247.74193548,0,4298.70967742,0,4221.93548387,0,4185.16129032,0,4151.29032258,0,4162.58064516,0,4181.61290323,0,4211.93548387,0,4131.29032258,0,4205.16129032,0,0,0,?
2018-01-26 08:14:58.102000,4155.48387097,0,4208.06451613,0,4227.74193548,0,4169.03225806,0,4237.09677419,0,4259.35483871,0,4203.22580645,0,4208.38709677,0,4150.32258065,0,4190.32258065,0,4182.90322581,0,4197.41935484,0,4167.74193548,0,4183.5483871,0,0,0,?
2018-01-26 08:14:58.107000,4174.19354839,0,4209.35483871,0,4167.09677419,0,4146.12903226,0,4179.03225806,0,4286.12903226,0,4190.96774194,0,4164.51612903,0,4140.64516129,0,4132.90322581,0,4167.41935484,0,4205.48387097,0,4150.0,0,4187.74193548,0,0,0,?
2018-01-26 08:14:58.116000,4157.74193548,0,4205.48387097,0,4162.25806452,0,4159.03225806,0,4219.67741935,0,4299.03225806,0,4207.41935484,0,4206.4516129,0,4162.25806452,0,4173.5483871,0,4203.87096774,0,4221.29032258,0,4146.12903226,0,4190.0,0,0,0,?
2018-01-26 08:14:58.121000,4152.58064516,0,4190.0,0,4165.16129032,0,4190.96774194,0,4197.41935484,0,4298.38709677,0,4216.12903226,0,4186.12903226,0,4194.83870968,0,4135.48387097,0,4162.90322581,0,4222.90322581,0,4153.5483871,0,4192.90322581,0,0,0,?
2018-01-26 08:14:58.133000,4164.83870968,0,4190.32258065,0,4205.48387097,0,4210.32258065,0,4218.70967742,0,4295.16129032,0,4211.61290323,0,4207.41935484,0,4199.35483871,0,4148.06451613,0,4170.64516129,0,4229.35483871,0,4165.16129032,0,4192.58064516,0,0,0,?
2018-01-26 08:14:58.136000,4153.5483871,0,4191.29032258,0,4201.61290323,0,4178.70967742,0,4192.25806452,0,4286.12903226,0,4194.19354839,0,4193.5483871,0,4145.16129032,0,4144.51612903,0,4210.96774194,0,4228.70967742,0,4166.12903226,0,4181.93548387,0,0,0,?
