F3,FC5,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,AF3
-24.979531680000036,39.09939413751272,13.150483050660569,31.18552480517792,8.157851649898475,-4.801047978528004,-21.359096121370385,-6.138857052487765,-25.77533976984887,-125.24643851543169,-166.4941869946192,-29.225478954975188,-30.099885378476756,-92.7509415381719
-34.334370390000004,30.06713607751226,8.63435402066034,21.18552480517792,2.351400029899196,-4.478467328528495,-19.101031601370778,19.99017520751204,-40.61404944984861,-98.14966431543235,-180.68773538461937,-17.28999508497509,-5.583756348476527,-55.00900605817242
5.020468319999964,22.64778123751239,-0.3979040493395587,41.18552480517792,7.512690359899352,-0.6074995885282988,-9.101031601370778,-29.36466350248793,-14.16243654984828,-107.82708367543182,-175.84902570461918,-35.6770918649745,37.964630751523146,-90.81545766817271
-35.62469298000087,49.09939413751272,38.63435402066034,52.15326674517746,11.06107744989913,-7.381693138528135,-20.391354181370843,20.63533649751207,-45.77533976984887,-104.27869657543215,-183.59096119461947,-30.515801534975253,-9.777304728477247,-45.331586708171926
-9.49566072000016,35.551007037513045,46.69887015066024,34.08875061517756,9.448174229898541,-3.1881447485284298,4.447355498629804,25.796626817512333,-15.452759129848346,-84.60127722543166,-173.91354183461908,-16.967414444974565,-6.551498278477084,-48.879973798172614
-24.334370390000004,8.776813497513103,2.1827411206604665,-6.878991324821982,-8.61634190010136,-6.0913705585280695,-16.520386441370647,-51.62272801248764,-58.355984939848895,-131.69805141543202,-214.2361224846195,-17.28999508497509,-31.712788598476436,-73.71868347817235
-29.49566072000016,31.034878007512816,36.37628950066073,30.862944165177396,-0.8744064201009678,-14.801047978528004,-18.778450961370254,-19.04208285248842,-9.646307519848051,-109.76256754543192,-167.4619289346192,-36.32225315497453,-19.777304728477247,-75.97674799817196
-0.7859833000002254,12.002619947512358,-15.881775009339435,7.314557065177723,12.673980679898705,-12.220402818527873,-6.520386441370647,-40.654986082487994,-69.00114622984802,-121.3754707754315,-191.97805796461944,-42.12870476497483,33.448501721522916,-60.17029637817268
-2.076305880000291,15.551007037513045,14.11822499066011,18.282299005177265,1.0610774498991304,-9.317177008528233,-23.617160631371007,-16.138857052487765,-35.77533976984887,-129.76256754543192,-191.97805796461944,-12.77386605497486,-17.519240218476625,-103.07352218817232
-17.56017685000006,15.228426397512521,50.24725725066082,7.959718355177756,1.3836580998986392,-2.220402818527873,-11.036515471370876,7.086949397511489,2.2891763501511377,-108.47224496543186,-178.75225151461927,-42.12870476497483,30.867856561522785,-95.97674799817196
-30.140822010000193,-9.287702632487708,-2.655968559339726,18.60487964517779,-9.906664480101426,-10.284918948527775,-27.810709021370712,-38.719502212487896,-76.09792041984838,-113.63353528543212,-192.62321925461947,-28.25773702497463,-42.68053053847689,-103.39610282817193
3.40756508999948,-1.5457671524873149,18.956934660659954,15.056492545178116,-13.13247093010068,-14.155886688527971,-20.391354181370843,-19.687244142488453,-52.22695267984818,-98.47224496543186,-194.88128377461908,-12.128704764974827,-38.16440150847666,-59.847715738172155
1.1495005699998728,31.68003929751285,-16.2043556593394,-13.975765514822342,2.028819389898672,1.3279842814717995,-7.488128381370188,-7.106598982488322,-72.5495333198487,-101.05289012543199,-192.62321925461947,-11.80612411497441,-6.551498278477084,-85.00900605817242
8.568855409999742,5.551007037513045,-13.623710499339722,15.056492545178116,1.0610774498991304,-1.8978221685283643,-25.552644501370196,-42.59046995248809,-61.58179138984815,-122.98837399543208,-166.81676764461918,-16.322253154974533,-9.777304728477247,-69.84771573817216
